# generation	 generation_size	 entropy	 age_avg	 size_avg	 fitness_avg	 fitness_max	 fitness_min	 sigma	 tau	 evaluations
1	 40	 0	 1	 386	 36262.3	 96015.4	 13383.4	 0.9	 2	 40
2	 8	 8.25539	 1.575	 386	 40844.3	 96015.4	 20585.6	 0.9	 2	 48
3	 6	 8.25056	 2.1	 386	 43606.4	 96015.4	 25166.8	 0.9	 2	 54
4	 5	 8.20627	 2.475	 386	 45542.4	 96015.4	 26345.8	 0.9	 2	 59
5	 8	 8.18844	 2.625	 386	 47017.8	 96015.4	 30145.6	 0.9	 2	 67
6	 9	 8.15776	 2.8	 386	 48913.4	 96015.4	 34570.4	 0.9	 2	 76
7	 7	 8.13644	 3.025	 386	 50413.8	 96015.4	 35638.1	 0.9	 2	 83
8	 6	 8.14124	 3.7	 386	 50542.1	 96015.4	 36643.1	 0.81	 2	 89
9	 6	 8.13334	 3.9	 386	 53336.2	 96015.4	 36861.2	 0.81	 2	 95
10	 6	 8.18146	 4.125	 386	 54529	 96015.4	 37579.3	 0.81	 2	 101
11	 6	 8.19329	 4.475	 386	 56166.3	 96015.4	 38377.6	 0.81	 2	 107
12	 7	 8.18917	 4.45	 386	 59166.8	 96431.2	 38593.6	 0.829	 2	 114
13	 7	 8.20968	 4.4	 386	 61396.6	 96431.2	 38930.9	 0.829	 2	 121
14	 9	 8.23966	 4.125	 386	 65951.4	 96431.2	 41221.8	 0.829	 2	 130
15	 6	 8.23205	 3.975	 386	 67531.6	 96431.2	 41831.2	 0.829	 2	 136
16	 7	 8.23891	 3.975	 386	 70472.2	 96431.2	 42790.9	 0.829	 2	 143
17	 1	 8.23065	 4.675	 386	 70929.4	 96431.2	 43481.2	 0.829	 2	 144
18	 4	 8.20593	 4.925	 386	 74006.7	 96431.2	 58870	 0.829	 2	 148
19	 5	 8.18819	 4.6	 386	 75539.2	 96431.2	 61077.3	 0.829	 2	 153
20	 4	 8.14249	 4.25	 386	 76932.2	 96431.2	 64991.5	 0.829	 2	 157
21	 6	 8.14122	 4.5	 386	 77892.3	 96431.2	 65262.8	 0.829	 2	 163
22	 6	 8.13122	 4.5	 386	 78870.8	 96431.2	 67442.7	 0.829	 2	 169
23	 5	 8.11751	 4.675	 386	 79203.2	 96431.2	 67917.3	 0.829	 2	 174
24	 6	 8.10579	 4.5	 386	 80204.9	 96431.2	 68941.1	 0.829	 2	 180
25	 7	 8.1152	 4.475	 386	 81205.6	 96431.2	 70459.1	 0.829	 2	 187
26	 9	 8.1132	 4.85	 386	 81557.9	 96431.2	 72859.9	 0.7461	 2	 196
27	 7	 8.08888	 4.925	 386	 81683.3	 96431.2	 73216.2	 0.67149	 2	 203
28	 5	 8.08225	 5.275	 386	 82051.9	 96431.2	 74524.8	 0.67149	 2	 208
29	 5	 8.05673	 5.575	 386	 82479.2	 96431.2	 75179.1	 0.604341	 2	 213
30	 6	 8.0526	 6.1	 386	 82628.3	 96431.2	 76145.9	 0.543907	 2	 219
31	 5	 8.06986	 6.125	 386	 83777.3	 96431.2	 76452.1	 0.543907	 2	 224
32	 6	 8.07541	 6.1	 386	 84793.4	 96431.2	 76843	 0.543907	 2	 230
33	 7	 8.05754	 5.55	 386	 85276.1	 96431.2	 77339.9	 0.543907	 2	 237
34	 7	 8.04218	 5.725	 386	 85595.8	 96431.2	 77662.9	 0.489516	 2	 244
35	 6	 8.0426	 5.8	 386	 86849.8	 96977.8	 78521.7	 0.540565	 2	 250
36	 8	 8.01926	 5.525	 386	 87457.2	 96977.8	 80085.6	 0.540565	 2	 258
37	 4	 8.02126	 5.475	 386	 87989.8	 96977.8	 80396.6	 0.540565	 2	 262
38	 7	 8.01763	 5.8	 386	 88076.3	 96977.8	 80683.9	 0.486508	 2	 269
39	 7	 8.01821	 6.2	 386	 88305.9	 96977.8	 81777.9	 0.486508	 2	 276
40	 7	 7.97462	 6.075	 386	 88708.5	 96977.8	 82179.7	 0.437857	 2	 283
41	 10	 7.98284	 6.475	 386	 89738.5	 110371	 82830.6	 0.494072	 2	 293
42	 5	 7.9636	 5.975	 386	 89906.7	 110371	 83625.8	 0.494072	 2	 298
43	 4	 7.96765	 6.15	 386	 90006.5	 110371	 83942	 0.494072	 2	 302
44	 5	 7.9947	 5.775	 386	 90145.9	 110371	 85425.1	 0.494072	 2	 307
45	 7	 8.00366	 5.775	 386	 90339.3	 110371	 85470.4	 0.494072	 2	 314
46	 5	 8.00616	 5.625	 386	 90990.1	 110371	 85861.1	 0.494072	 2	 319
47	 8	 8.00566	 6.3	 386	 91246.3	 110371	 85909.1	 0.444664	 2	 327
48	 5	 8.00033	 6.575	 386	 91529.7	 110371	 86012.3	 0.444664	 2	 332
49	 6	 8.00549	 5.975	 386	 91978.5	 110371	 86246.6	 0.444664	 2	 338
50	 5	 7.97763	 5.875	 386	 92506.5	 110371	 86582.6	 0.400198	 2	 343
