# generation	 generation_size	 entropy	 age_avg	 size_avg	 fitness_avg	 fitness_max	 fitness_min	 sigma	 tau	 evaluations
1	 40	 0	 1	 96	 3636.41	 12630.8	 1219.62	 0.9	 2	 40
2	 8	 7.5814	 1.575	 96	 4067.04	 12630.8	 2524	 0.9	 2	 48
3	 7	 7.55776	 2.075	 96	 4397.2	 12697.7	 2576.06	 0.91	 2	 55
4	 9	 7.52295	 2.4	 96	 4909.19	 12697.7	 2662.31	 0.91	 2	 64
5	 8	 7.53106	 2.625	 96	 5083.89	 12697.7	 3622.69	 0.91	 2	 72
6	 8	 7.58066	 3.025	 96	 5150.56	 12697.7	 3772	 0.91	 2	 80
7	 7	 7.52762	 3.1	 96	 5242.16	 12697.7	 3911.38	 0.91	 2	 87
8	 7	 7.49501	 3.375	 96	 5313.89	 12697.7	 3947.56	 0.91	 2	 94
9	 9	 7.50235	 3.75	 96	 5376.25	 12697.7	 3983.56	 0.819	 2	 103
10	 7	 7.44675	 3.675	 96	 5904.91	 12905.4	 4253.75	 0.8371	 2	 110
11	 6	 7.44331	 3.85	 96	 5979.98	 12905.4	 4393.44	 0.8371	 2	 116
12	 5	 7.44382	 4.15	 96	 6187.11	 12905.4	 4488.75	 0.75339	 2	 121
13	 6	 7.43094	 4.125	 96	 6263.33	 12905.4	 4537.69	 0.75339	 2	 127
14	 7	 7.44886	 4.2	 96	 6526.87	 12905.4	 4623.06	 0.75339	 2	 134
15	 10	 7.382	 3.875	 96	 6845.83	 12905.4	 4798.88	 0.75339	 2	 144
16	 7	 7.39462	 4.425	 96	 6861.79	 12905.4	 4815.62	 0.678051	 2	 151
17	 5	 7.37812	 4.3	 96	 7116.35	 12905.4	 4945.25	 0.610246	 2	 156
18	 7	 7.40351	 4.05	 96	 7372.35	 12905.4	 5039.69	 0.610246	 2	 163
19	 8	 7.47838	 3.55	 96	 8340.28	 12905.4	 5120.56	 0.610246	 2	 171
20	 9	 7.51311	 3.2	 96	 8911.22	 12905.4	 5553.19	 0.610246	 2	 180
21	 9	 7.50673	 3.075	 96	 9799.97	 12905.4	 5777.56	 0.610246	 2	 189
22	 8	 7.47453	 2.925	 96	 10304.3	 12905.4	 5883.56	 0.610246	 2	 197
23	 7	 7.48565	 2.95	 96	 10960.7	 12905.4	 6050.69	 0.610246	 2	 204
24	 5	 7.47474	 3	 96	 11623.7	 13228.2	 6119	 0.649221	 2	 209
25	 8	 7.47383	 3.05	 96	 12326.2	 13228.2	 6268.19	 0.649221	 2	 217
26	 6	 7.39074	 3.2	 96	 12631	 13228.2	 12268	 0.649221	 2	 223
27	 6	 7.41993	 3.15	 96	 12682.4	 13228.2	 12435.9	 0.649221	 2	 229
28	 8	 7.40946	 3.25	 96	 12765.2	 15250.8	 12482.9	 0.684299	 2	 237
29	 7	 7.409	 3.275	 96	 12785.4	 15250.8	 12586.1	 0.684299	 2	 244
30	 6	 7.40147	 3.675	 96	 12805.5	 15250.8	 12605.7	 0.684299	 2	 250
31	 6	 7.39784	 4.025	 96	 12809.9	 15250.8	 12629.1	 0.615869	 2	 256
32	 6	 7.3947	 4.25	 96	 12832.9	 15250.8	 12632.6	 0.615869	 2	 262
33	 7	 7.40674	 4.275	 96	 12854.8	 15250.8	 12641.2	 0.615869	 2	 269
34	 5	 7.39902	 4.3	 96	 12864.7	 15250.8	 12651.5	 0.615869	 2	 274
35	 4	 7.44673	 4.4	 96	 12920.4	 15250.8	 12659.1	 0.554282	 2	 278
36	 7	 7.46552	 4.775	 96	 12924.2	 15250.8	 12662.5	 0.554282	 2	 285
37	 5	 7.46552	 5.525	 96	 12924.2	 15250.8	 12662.5	 0.498854	 2	 290
38	 4	 7.46968	 5.5	 96	 12976.8	 15250.8	 12674.1	 0.498854	 2	 294
39	 7	 7.47839	 5.175	 96	 12987.8	 15250.8	 12685.9	 0.498854	 2	 301
40	 5	 7.46108	 4.725	 96	 12998.3	 15250.8	 12718.5	 0.448969	 2	 306
41	 5	 7.4552	 4.875	 96	 13014.6	 15250.8	 12727.8	 0.448969	 2	 311
42	 8	 7.45716	 5.175	 96	 13021.1	 15250.8	 12745.4	 0.448969	 2	 319
43	 4	 7.44285	 5.525	 96	 13028.5	 15250.8	 12761.2	 0.404072	 2	 323
44	 9	 7.42447	 5.825	 96	 13034.9	 15250.8	 12774.6	 0.404072	 2	 332
45	 6	 7.43356	 6.475	 96	 13101.4	 15250.8	 12785.4	 0.363665	 2	 338
46	 7	 7.40625	 5.75	 96	 13112.3	 15250.8	 12813.3	 0.363665	 2	 345
47	 6	 7.40144	 6.2	 96	 13122.8	 15250.8	 12827.4	 0.363665	 2	 351
48	 8	 7.41843	 6.4	 96	 13129.1	 15250.8	 12832.4	 0.363665	 2	 359
49	 7	 7.41612	 6.2	 96	 13177.2	 15250.8	 12852.7	 0.363665	 2	 366
50	 7	 7.41283	 6.125	 96	 13188.6	 15250.8	 12864.1	 0.363665	 2	 373
51	 7	 7.42351	 6.375	 96	 13245.2	 15250.8	 12868.4	 0.363665	 2	 380
52	 7	 7.47767	 5.85	 96	 13266.4	 15250.8	 12882.8	 0.363665	 2	 387
53	 6	 7.48129	 6.375	 96	 13267.4	 15250.8	 12883.8	 0.327298	 2	 393
54	 7	 7.4601	 5.525	 96	 13337.2	 15250.8	 12902.6	 0.327298	 2	 400
55	 7	 7.44249	 5.5	 96	 13380.4	 15250.8	 12905.4	 0.327298	 2	 407
56	 7	 7.45545	 6	 96	 13386.5	 15250.8	 12906.9	 0.327298	 2	 414
57	 8	 7.41751	 4.5	 96	 13469	 15346.2	 12941.9	 0.394568	 2	 422
